id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
50;data_gathering;requests;1566392259.16775;-0.31244325637817383;https://www.dailymail.co.uk/home/search.html?offset=2500&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2500&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;195358;200;True;
51;data_gathering;requests;1566392260.5952;-0.4110567569732666;https://www.dailymail.co.uk/home/search.html?offset=2550&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2550&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;196182;200;True;
52;data_gathering;requests;1566392262.453482;-0.24309110641479492;https://www.dailymail.co.uk/home/search.html?offset=2600&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2600&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;197204;200;True;
53;data_gathering;requests;1566392263.869856;-0.37772274017333984;https://www.dailymail.co.uk/home/search.html?offset=2650&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2650&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;196156;200;True;
54;data_gathering;requests;1566392265.462836;-0.21800708770751953;https://www.dailymail.co.uk/home/search.html?offset=2700&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2700&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;195503;200;True;
55;data_gathering;requests;1566392266.828615;-0.44722914695739746;https://www.dailymail.co.uk/home/search.html?offset=2750&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2750&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;197537;200;True;
56;data_gathering;requests;1566392268.600963;-0.2395329475402832;https://www.dailymail.co.uk/home/search.html?offset=2800&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2800&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;196622;200;True;
57;data_gathering;requests;1566392270.1371741;-0.44586801528930664;https://www.dailymail.co.uk/home/search.html?offset=2850&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2850&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;196370;200;True;
58;data_gathering;requests;1566392271.751295;-0.9566068649291992;https://www.dailymail.co.uk/home/search.html?offset=2900&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2900&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;195791;200;True;
59;data_gathering;requests;1566392274.005305;-0.35944676399230957;https://www.dailymail.co.uk/home/search.html?offset=2950&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=2950&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;197152;200;True;
60;data_gathering;requests;1566392275.4897768;-0.9466502666473389;https://www.dailymail.co.uk/home/search.html?offset=3000&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=3000&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;195572;200;True;
61;data_gathering;requests;1566392277.779043;-0.29659295082092285;https://www.dailymail.co.uk/home/search.html?offset=3050&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=3050&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;197390;200;True;
62;data_gathering;requests;1566392279.295649;-0.26151609420776367;https://www.dailymail.co.uk/home/search.html?offset=3100&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=3100&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;198451;200;True;
63;data_gathering;requests;1566392281.09297;-0.5704760551452637;https://www.dailymail.co.uk/home/search.html?offset=3150&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=3150&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;197421;200;True;
64;data_gathering;requests;1566392282.884962;-0.23328471183776855;https://www.dailymail.co.uk/home/search.html?offset=3200&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=3200&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;198174;200;True;
65;data_gathering;requests;1566392284.4294348;-0.22979211807250977;https://www.dailymail.co.uk/home/search.html?offset=3250&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=3250&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;198912;200;True;
66;data_gathering;requests;1566392285.839662;-0.2227630615234375;https://www.dailymail.co.uk/home/search.html?offset=3300&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;https://www.dailymail.co.uk/home/search.html?offset=3300&size=50&sel=site&searchPhrase=&sort=recent&type=article&topic=Immigration&days=all;202005;200;True;
