Link,Searchterm
http://dr.dk/nyheder/udland/mexicansk-haer-befrier-165-migranter,migrant
http://dr.dk/nyheder/udland/italien-kystvagter-redder-500-afrikanske-migranter,migrant
http://dr.dk/nyheder/udland/213-migranter-gemt-i-trailer,migrant
http://dr.dk/nyheder/udland/doedstal-stiger-efter-godstogulykke-i-mexico,migrant
http://dr.dk/nyheder/indland/blad-politi-lader-illegale-passere,migrant
http://dr.dk/nyheder/udland/baadkatastrofe-saetter-spot-paa-flygtningeproblem,migrant
http://dr.dk/nyheder/udland/14-aarig-pige-draebt-ved-nynazistisk-angreb,migrant
http://dr.dk/nyheder/udland/1500-doede-paa-vej-til-europa-sidste-aar,migrant
http://dr.dk/nyheder/politik/df-illegale-i-lufthavnen-skal-stoppes,migrant
http://dr.dk/nyheder/udland/her-er-prisen-et-nyt-liv-i-europa,migrant
http://dr.dk/nyheder/indland/flere-kroner-til-minerydning-i-libyen,migrant
http://dr.dk/nyheder/udland/overlevende-fra-lampedusa-vi-floed-rundt-blandt-doede-kroppe,migrant
http://dr.dk/nyheder/udland/malta-middelhavet-er-blevet-en-kirkegaard,migrant
http://dr.dk/nyheder/udland/video-korrespondent-eu-fokuserer-udelukkende-paa-graensekontrol,migrant
http://dr.dk/nyheder/udland/fiskerbaad-med-200-flygtninge-sunket-vi-gik-i-panik,migrant
http://dr.dk/nyheder/udland/fire-millioner-europaeere-faar-mad-fra-roede-kors,migrant
http://dr.dk/nyheder/udland/fem-timers-kampe-taliban-slog-til-i-kabul,migrant
http://dr.dk/nyheder/udland/kinesisk-leder-arbejdere-skal-behandles-godt,migrant
http://dr.dk/nyheder/indland/illegal-arbejdskraft-breder-sig-mere-og-mere,migrant
http://dr.dk/nyheder/politik/lampedusa-problematik-eu-ledere-vil-se-handling-nu,migrant
http://dr.dk/nyheder/indland/danskere-soeger-job-i-europa,migrant
http://dr.dk/nyheder/udland/danskerne-blandt-de-mest-asylvenlige-i-eu,migrant
http://dr.dk/nyheder/indland/sexarbejdere-bijobber-med-rengoering,migrant
http://dr.dk/nyheder/indland/forsker-au-pair-bliver-billig-arbejdskraft,migrant
http://dr.dk/nyheder/udland/doedstal-efter-skibsforlis-stiger-fortsat,migrant
http://dr.dk/nyheder/indland/roede-kors-politi-skal-holde-sig-vaek,migrant
http://dr.dk/nyheder/politik/illegale-indvandrere-skal-have-laegehjaelp,migrant
http://dr.dk/nyheder/indland/video-sugee-er-fra-nigeria-og-hjemloes-i-koebenhavn,migrant
http://dr.dk/nyheder/indland/hver-sjette-asylansoeger-sigtet,asylansøg
http://dr.dk/nyheder/indland/100-asylansoegere-forvundet-i-aar,asylansøg
http://dr.dk/nyheder/indland/hjemsendelsespenge-til-afviste-asylansoegere-fortsaetter,asylansøg
http://dr.dk/nyheder/indland/asylansoegere-faar-en-mia-bistandskroner,asylansøg
http://dr.dk/nyheder/indland/politiet-vil-frihedsberoeve-kriminelle-asylansoegere,asylansøg
http://dr.dk/nyheder/udland/asylansogere-strommer-til-schweiz,asylansøg
http://dr.dk/nyheder/regionale/hovedstadsomraadet/asylansoegere-forsvinder-efter-ankomst-til-koebenhavns-lufthavn,asylansøg
http://dr.dk/nyheder/indland/rekordmange-afviste-asylansoegere-rejser-hjem-i-aar,asylansøg
http://dr.dk/nyheder/indland/kommuner-skaber-plads-til-asylansoegere,asylansøg
http://dr.dk/nyheder/indland/200-asylansoegere-flytter-til-vollsmose,asylansøg
http://dr.dk/nyheder/indland/kortere-ophold-asylansoegere,asylansøg
