id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
667;data_gathering;requests;1566424422.027124;-0.7019541263580322;http://dr.dk/nyheder/udland/militser-rekrutterer-i-flygtningelejr;https://www.dr.dk/nyheder/udland/militser-rekrutterer-i-flygtningelejr;30486;200;True;
668;data_gathering;requests;1566424425.001649;-0.6946442127227783;http://dr.dk/nyheder/udland/fn-mere-end-276000-syrere-er-flygtet;https://www.dr.dk/nyheder/udland/fn-mere-end-276000-syrere-er-flygtet;32752;200;True;
669;data_gathering;requests;1566424427.97223;-0.7098028659820557;http://dr.dk/nyheder/udland/baadflygtninge-reddet-efter-kaentring;https://www.dr.dk/nyheder/udland/baadflygtninge-reddet-efter-kaentring;29434;200;True;
670;data_gathering;requests;1566424431.110506;-0.8398759365081787;http://dr.dk/nyheder/billedserie-det-lukkede-syrien;https://www.dr.dk/nyheder/billedserie-det-lukkede-syrien;40682;200;True;
671;data_gathering;requests;1566424434.470284;-0.8072819709777832;http://dr.dk/nyheder/udland/270-savnes-efter-forlis-i-middelhavet;https://www.dr.dk/nyheder/udland/270-savnes-efter-forlis-i-middelhavet;30971;200;True;
672;data_gathering;requests;1566424437.1749241;-0.7393698692321777;http://dr.dk/nyheder/udland/flygtningeboern-uden-sko-i-frostvejr;https://www.dr.dk/nyheder/udland/flygtningeboern-uden-sko-i-frostvejr;31045;200;True;
673;data_gathering;requests;1566424440.227197;-0.8471651077270508;http://dr.dk/nyheder/indland/laeger-betaling-tolk-kan-koste-liv;https://www.dr.dk/nyheder/indland/laeger-betaling-tolk-kan-koste-liv;31866;200;True;
674;data_gathering;requests;1566424443.394036;-0.8657021522521973;http://dr.dk/nyheder/udland/massiv-folkevandring-i-gang-i-mali;https://www.dr.dk/nyheder/udland/massiv-folkevandring-i-gang-i-mali;30257;200;True;
675;data_gathering;requests;1566424445.843766;-0.6849510669708252;http://dr.dk/nyheder/udland/flygtningeskib-forlist-ud-java;https://www.dr.dk/nyheder/udland/flygtningeskib-forlist-ud-java;30050;200;True;
676;data_gathering;requests;1566424448.660759;-0.8416781425476074;http://dr.dk/nyheder/udland/tamilsk-flygtningeskib-eskorteret-i-canadisk-havn;https://www.dr.dk/nyheder/udland/tamilsk-flygtningeskib-eskorteret-i-canadisk-havn;26838;200;True;
677;data_gathering;requests;1566424451.874042;-0.7322430610656738;http://dr.dk/nyheder/politik/regeringen-vil-afskaffe-omstridt-tolkegebyr;https://www.dr.dk/nyheder/politik/regeringen-vil-afskaffe-omstridt-tolkegebyr;35825;200;True;
678;data_gathering;requests;1566424455.050682;-0.6847639083862305;http://dr.dk/nyheder/politik/venstre-freder-tolkebistand;https://www.dr.dk/nyheder/politik/venstre-freder-tolkebistand;30007;200;True;
679;data_gathering;requests;1566424457.827557;-0.6375257968902588;http://dr.dk/nyheder/indland/frustreret-jeg-kunne-hoere-bomberne;https://www.dr.dk/nyheder/indland/frustreret-jeg-kunne-hoere-bomberne;34871;200;True;
680;data_gathering;requests;1566424460.486698;-0.6421430110931396;http://dr.dk/nyheder/indland/jeg-taler-7-sprog-men-danmark-vil-ikke-have-mig;https://www.dr.dk/nyheder/indland/jeg-taler-7-sprog-men-danmark-vil-ikke-have-mig;36579;200;True;
681;data_gathering;requests;1566424462.710966;-0.9233438968658447;http://dr.dk/nyheder/udland/hundredtusinder-flygter-fra-congo;https://www.dr.dk/nyheder/udland/hundredtusinder-flygter-fra-congo;53492;200;True;
682;data_gathering;requests;1566424465.181888;-0.6755459308624268;http://dr.dk/nyheder/udland/75-omkommet-da-flygtningskib-kaentrede;https://www.dr.dk/nyheder/udland/75-omkommet-da-flygtningskib-kaentrede;28512;200;True;
683;data_gathering;requests;1566424467.909548;-0.6654348373413086;http://dr.dk/nyheder/udland/afghanistan-naegter-noedhjaelp-til-folket;https://www.dr.dk/nyheder/udland/afghanistan-naegter-noedhjaelp-til-folket;34473;200;True;
684;data_gathering;requests;1566424470.3776052;-0.7756369113922119;http://dr.dk/nyheder/udland/hvad-sker-der-i-et-lukket-syrien;https://www.dr.dk/nyheder/udland/hvad-sker-der-i-et-lukket-syrien;49815;200;True;
685;data_gathering;requests;1566424472.793119;-0.6666560173034668;http://dr.dk/nyheder/udland/fn-bekymret-over-pointsystem;https://www.dr.dk/nyheder/udland/fn-bekymret-over-pointsystem;31388;200;True;
